"City","Name","Adress","Web"
"СПб","Лаборатория художника","Московский пр-т 147","http://artists-lab.ru"
"СПб","Художник"," ул. Варшавская, д. 104. (Вход с ул. Алтайская, в сквере за кафе Мак Дональдс.)","spb-kraski.ru"
"СПб","Палитра","Ленинский пр. д.127 (вход со двора)",""
"СПб","Палитра","Колокольная, 12",""
"СПб","Палитра","улица Дыбенко, 22к1",""
"СПб","Арт-Квартал","ул. Гражданская, 12","https://artkvartal.ru"
"СПб","Арт-Квартал","ул. 2-я Советская, 21","https://artkvartal.ru"
"СПб","Арт-Квартал","набережная Черной речки, 25","https://artkvartal.ru"
"СПб","Арт-Квартал","Ленинский пр., 125","https://artkvartal.ru"
"СПб","Арт-Клуб","линия 4-я В. О., 1-3","http://www.artclubspb.ru"
"СПб","Арт-центр"," В.О., Университетская набережная, д. 17 (В художественной академии имени Репина)","http://www.hudtovar.ru"
"СПб","Арт-центр","Набережная Канала Грибоедова, 52","http://www.hudtovar.ru"
"СПб","Арт-центр","Думская ул. 4","http://www.hudtovar.ru"
"СПб","Блик","Соляной пер., 2/3","http://www.tm-blik.ru/"
"СПб","Блик","ул. Большая Морская, д. 38","http://www.tm-blik.ru/"
"СПб","Блик"," пр. Обуховской Обороны, д. 105 (ДК им. Крупской). Вход № 4.","http://www.tm-blik.ru/"
"СПб","ARTHOBBY","С-Пб,Звенигородская ул., д. 4","http://www.arthobby-shop.ru"
"СПб","Акварель","Коломяжский пр. 15/2 (вход с пр. Испытателей)","http://spb-kraski.ru"
"СПб","Дом Книги ZINGER"," Невский проспект, д. 28, литер А ","http://www.spbdk.ru"
"Сочи","Канцелярия +","Ареда ул. Пластунская, 4",""
"Сочи","Канцелярия +","ТЦ ""Олимп"" ул. Транспортная, 28",""
"Сочи","Канцелярия +","ТЦ ""Левый берег""   ул. Конституции СССР, 46",""
"Сочи","Канцелярия +","ТЦ ""Квартал"" ул. Московская, 3",""
"Сочи","Канцелярия +","Рынок ""Кипарис"" ул. Демократическая, 38",""
"Сочи","Канцелярия +","Сочинка,ул. Макаренко 11",""
"Сочи","Канцелярия +","ТРК ""Сити-Плаза"", ул. Кирова, 58",""
" г. Ростов-на-Дону","Зебра ","пр. Нагибина, 34а",""
" г. Ростов-на-Дону","Зебра "," пр. Шолохова, 7",""
" г. Ростов-на-Дону","Зебра "," ул. Малиновского, 25, ТЦ Золотой Вавилон, 1-й уровень",""
" г. Таганрог","Зебра ","пл. Мира 7,",""
"Инетернет портал","Зебра ","http://www.vzebru.ru/",""
"г. Ростов-на-Дону","Палитра","ул. Серафимовича 31,",""
"г. Ростов-на-Дону","Палитра","     ул. М. Горького 70, ",""
"г. Ростов-на-Дону","Палитра","  ул. Социалистическая 153/29,",""
"г. Ростов-на-Дону","Палитра"," ул. Добровольского 13 ",""
"интерен поратл","Палитра","http://www.kancpalitra.ru/",""
"Абинск","Офискласс","КК, Абинск, Горького, 26","office-class.ru"
